test_name,mode,requests,success,failure,avg_latency_ms,p95_latency_ms,timestamp
Normal Access,CONSENT_MODE,50,50,0,122.75,144.16,2026-05-11T18:16:49.686730
No-Policy Baseline,LOGGING_ONLY_MODE,50,50,0,66.84,75.99,2026-05-11T18:16:50.066706
OTP Mode (Unverified),PASSWORD_OTP_MODE,10,0,10,43.78,72.38,2026-05-11T18:16:50.173649
OTP Mode (Verified),PASSWORD_OTP_MODE,10,10,0,43.86,71.4,2026-05-11T18:16:50.283025
Strict Security,ZERO_TRUST_MODE,50,50,0,128.35,150.77,2026-05-11T18:16:51.001772
Revoked Access Attempt,CONSENT_MODE,20,0,20,100.75,132.43,2026-05-11T18:16:51.284946
